
--- Minimize function Ackley-10dim

TTOpt        | t=   0.5 | ey=5.0e-04 | evals=1.0e+05 | p=4, q= 9, r=  4
TTOpt        | t=  27.6 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.9 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  28.5 | ey=2.0e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.9 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.8 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.9 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.7 | ey=2.1e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=  27.7 | ey=2.2e+01 | evals=1.0e+05 | n=1048576, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.1 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   1.2 | ey=1.3e-04 | evals=1.0e+05 | p=2, q=20, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4
TTOpt        | t=   0.5 | ey=1.3e-04 | evals=1.0e+05 | p=4, q=10, r=  4



--- Minimize function Grienwank-10dim

TTOpt        | t=   0.1 | ey=1.1e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.1e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.1 | ey=1.0e+00 | evals=1.0e+05 | n=  256, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.8 | ey=1.0e+00 | evals=1.0e+05 | p=2, q= 8, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.1e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.1e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.4 | ey=1.0e+00 | evals=1.0e+05 | p=4, q= 4, r=  4
TTOpt        | t=   0.1 | ey=1.0e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=3.0e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=2.3e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=7.5e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.4e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=2.2e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=8.3e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=1.3e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=2.2e+02 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.1 | ey=7.7e+01 | evals=1.0e+05 | n= 1024, r=  4
TTOpt        | t=   0.9 | ey=2.0e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=2.0e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.8 | ey=2.3e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.8 | ey=2.1e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.8 | ey=2.0e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=2.1e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=1.9e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=2.0e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.9 | ey=2.0e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.8 | ey=1.9e-01 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=1.9e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.1e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.1e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.1e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.4 | ey=2.0e-01 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   0.2 | ey=1.8e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.7e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.3e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=1.0e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.0e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.0e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=1.2e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=1.4e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=1.8e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.2 | ey=2.2e+02 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.9 | ey=3.1e-02 | evals=1.0e+05 | p=2, q=12, r=  4
